ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInNUcastPkts,ifInDiscards,ifOutUcastPkts,ifOutNUcastPkts,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipSystemStatsInReceives,ipSystemStatsInDelivers,ipSystemStatsOutRequests,ipSystemStatsOutDiscards,ipSystemStatsInDiscards,ipSystemStatsInForwDatagrams,ipSystemStatsOutNoRoutes,ipSystemStatsInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
61366138,61366138,0,632738,0,0,632738,0,204124,602638,581810,217,828,14,1070,205346,953842,6589174,7617,30,1142509,1141941,7018028,6,0,0,16,3,0,0,3,3,0,0
61378270,61378270,0,632806,0,0,632806,0,204124,602642,581814,217,828,14,1070,205346,954047,6592555,7617,30,1142509,1141941,7018028,6,0,0,16,3,0,0,3,3,0,0
61390402,61390402,0,632874,0,0,632874,0,204126,602648,581821,217,828,14,1070,205346,954228,6595655,7617,30,1145053,1144483,7049819,6,0,0,16,3,0,0,3,3,0,0
61402534,61402534,0,632942,0,0,632942,0,204126,602655,581827,217,828,14,1070,205346,954367,6599860,7617,30,1145053,1144483,7049819,6,0,0,16,3,0,0,3,3,0,0
61414666,61414666,0,633010,0,0,633010,0,204126,602669,581842,217,828,14,1070,205346,954504,6604310,7617,30,1145053,1144483,7049819,6,0,0,16,3,0,0,3,3,0,0
61446234,61446234,0,633180,0,0,633180,0,204126,602793,581966,222,828,22,1070,205351,954642,6608772,7617,30,1145053,1144483,7049819,6,0,0,16,3,0,0,3,3,0,0
61460678,61460678,0,633272,0,0,633272,0,204126,602818,581991,222,828,22,1070,205351,954976,6613422,7617,30,1145053,1144483,7049819,6,0,0,16,3,0,0,3,3,0,0
61472810,61472810,0,633340,0,0,633340,0,204126,602835,582011,222,828,22,1070,205351,955166,6618244,7617,30,1145053,1144483,7049819,6,0,0,16,3,0,0,3,3,0,0
61487238,61487238,0,633432,0,0,633432,0,204126,602854,582030,222,828,22,1070,205351,955458,6623097,7617,30,1145053,1144483,7049819,6,0,0,16,3,0,0,3,3,0,0
61501650,61501650,0,633528,0,0,633528,0,204126,602896,582074,222,828,14,1070,205351,955639,6626555,7617,30,1145053,1144483,7049819,6,0,0,16,3,0,0,3,3,0,0
61513782,61513782,0,633596,0,0,633596,0,204126,602901,582081,222,828,14,1070,205351,955861,6628696,7617,30,1145053,1144483,7049819,6,0,0,16,3,0,0,3,3,0,0
61525914,61525914,0,633664,0,0,633664,0,204126,602910,582090,222,828,14,1070,205351,955998,6630906,7617,30,1145053,1144483,7049819,6,0,0,16,3,0,0,3,3,0,0
61538046,61538046,0,633732,0,0,633732,0,204126,602913,582094,222,828,14,1070,205351,956342,6633342,7617,30,1145053,1144483,7049819,6,0,0,16,3,0,0,3,3,0,0
61550178,61550178,0,633800,0,0,633800,0,204126,602922,582104,222,828,14,1070,205351,956635,6637612,7617,30,1145053,1144483,7049819,6,0,0,16,3,0,0,3,3,0,0
61562310,61562310,0,633868,0,0,633868,0,204136,602950,582133,222,828,14,1070,205361,956816,6640056,7617,30,1147820,1147250,7094594,6,0,0,16,3,0,0,3,3,0,0
61590922,61590922,0,634036,0,0,634036,0,204136,603042,582225,226,828,22,1070,205365,957047,6643776,7617,30,1147820,1147250,7094594,6,0,0,16,3,0,0,3,3,0,0
61604214,61604214,0,634116,0,0,634116,0,204136,603075,582258,226,828,22,1070,205365,957357,6648076,7617,30,1147820,1147250,7094594,6,0,0,16,3,0,0,3,3,0,0
61618650,61618650,0,634208,0,0,634208,0,204136,603094,582279,226,828,21,1070,205365,957554,6652528,7617,30,1147820,1147250,7094594,6,0,0,16,3,0,0,3,3,0,0
61631926,61631926,0,634288,0,0,634288,0,204136,603125,582311,226,828,21,1070,205365,957758,6657328,7617,30,1147820,1147250,7094594,6,0,0,16,3,0,0,3,3,0,0
61645202,61645202,0,634368,0,0,634368,0,204136,603176,582357,226,828,14,1070,205366,957952,6659671,7617,30,1147820,1147250,7094594,6,0,0,16,3,0,0,3,3,0,0
61658470,61658470,0,634452,0,0,634452,0,204136,603203,582382,226,828,12,1070,205366,958238,6663892,7617,30,1147820,1147250,7094594,6,0,0,16,3,0,0,3,3,0,0
61670602,61670602,0,634520,0,0,634520,0,204136,603214,582395,226,828,12,1070,205367,958458,6668299,7617,30,1147820,1147250,7094594,6,0,0,16,3,0,0,3,3,0,0
61682734,61682734,0,634588,0,0,634588,0,204136,603233,582415,226,828,12,1070,205368,958641,6672189,7617,30,1147820,1147250,7094594,6,0,0,16,3,0,0,3,3,0,0
61695866,61695866,0,634676,0,0,634676,0,204146,603262,582444,226,828,12,1070,205378,958844,6675037,7617,30,1147820,1147250,7094594,6,0,0,16,3,0,0,3,3,0,0
61707998,61707998,0,634744,0,0,634744,0,204146,603272,582456,226,828,12,1070,205378,959163,6678204,7617,30,1147820,1147250,7094594,6,0,0,16,3,0,0,3,3,0,0
61735610,61735610,0,634892,0,0,634892,0,204146,603361,582545,230,828,20,1070,205382,959421,6680765,7617,30,1147820,1147250,7094594,6,0,0,16,3,0,0,3,3,0,0
61748902,61748902,0,634972,0,0,634972,0,204146,603390,582575,230,828,20,1070,205382,959665,6683296,7617,30,1151008,1150435,7137913,6,0,0,16,3,0,0,3,3,0,0
61763330,61763330,0,635064,0,0,635064,0,204146,603506,582691,230,828,21,1070,205383,959929,6685123,7617,30,1151008,1150435,7137913,6,0,0,16,3,0,0,3,3,0,0
61776606,61776606,0,635144,0,0,635144,0,204146,603570,582753,230,828,20,1070,205383,960207,6687885,7617,30,1151008,1150435,7137913,6,0,0,16,3,0,0,3,3,0,0
61789898,61789898,0,635224,0,0,635224,0,204146,603607,582791,230,828,12,1070,205383,960434,6691629,7617,30,1151008,1150435,7137913,6,0,0,16,3,0,0,3,3,0,0
61803166,61803166,0,635308,0,0,635308,0,204146,603612,582796,230,828,12,1070,205383,960687,6694847,7617,30,1151008,1150435,7137913,6,0,0,16,3,0,0,3,3,0,0
61815298,61815298,0,635376,0,0,635376,0,204146,603614,582798,230,828,12,1070,205383,960929,6698071,7617,30,1151008,1150435,7137913,6,0,0,16,3,0,0,3,3,0,0
61827430,61827430,0,635444,0,0,635444,0,204146,603632,582822,230,828,11,1070,205383,961133,6700768,7617,30,1151008,1150435,7137913,6,0,0,16,3,0,0,3,3,0,0
61839562,61839562,0,635512,0,0,635512,0,204146,603647,582837,230,828,11,1070,205383,961322,6703326,7617,30,1151008,1150435,7137913,6,0,0,16,3,0,0,3,3,0,0
61851694,61851694,0,635580,0,0,635580,0,204146,603653,582844,230,828,11,1070,205383,961569,6706835,7617,30,1151008,1150435,7137913,6,0,0,16,3,0,0,3,3,0,0
61879322,61879322,0,635728,0,0,635728,0,204146,603739,582930,234,828,19,1070,205387,961731,6710931,7617,30,1151008,1150435,7137913,6,0,0,16,3,0,0,3,3,0,0
61893758,61893758,0,635820,0,0,635820,0,204146,603777,582968,234,828,19,1070,205387,961874,6713540,7617,30,1151008,1150435,7137913,6,0,0,16,3,0,0,3,3,0,0
61908194,61908194,0,635912,0,0,635912,0,204146,603805,582997,234,828,19,1070,205387,962104,6715831,7617,30,1151008,1150435,7137913,6,0,0,16,3,0,0,3,3,0,0
61921494,61921494,0,635992,0,0,635992,0,204146,603839,583031,234,828,11,1070,205387,962341,6719439,7617,30,1154043,1153463,7174026,6,0,0,16,3,0,0,3,3,0,0
