ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInNUcastPkts,ifInDiscards,ifOutUcastPkts,ifOutNUcastPkts,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipSystemStatsInReceives,ipSystemStatsInDelivers,ipSystemStatsOutRequests,ipSystemStatsOutDiscards,ipSystemStatsInDiscards,ipSystemStatsInForwDatagrams,ipSystemStatsOutNoRoutes,ipSystemStatsInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
11018755,11018755,0,301465,0,0,301465,0,490,15086,14638,0,137,0,368,596,46205,23944,187,14,19883,19822,22649,4,0,0,8,3,1784,1638,1857,1638,73,73
11030887,11030887,0,301533,0,0,301533,0,490,15086,14638,0,137,0,368,596,46273,24027,187,14,20849,20788,23765,4,0,0,8,3,1784,1638,1857,1638,73,73
11044525,11044525,0,301616,0,0,301616,0,490,15086,14638,0,137,0,368,596,46341,24110,187,14,20849,20788,23765,4,0,0,8,3,1799,1653,1872,1653,73,73
11060269,11060269,0,301714,0,0,301714,0,490,15086,14638,0,137,0,368,596,46409,24208,187,14,20849,20788,23765,4,0,0,8,3,1814,1668,1887,1668,73,73
11073907,11073907,0,301797,0,0,301797,0,490,15086,14638,0,137,0,368,596,46477,24306,187,14,20849,20788,23765,4,0,0,8,3,1844,1698,1917,1698,73,73
11089651,11089651,0,301895,0,0,301895,0,490,15086,14638,0,137,0,368,596,46545,24389,187,14,20849,20788,23765,4,0,0,8,3,1844,1698,1917,1698,73,73
11104745,11104745,0,301993,0,0,301993,0,490,15086,14638,0,137,0,368,596,46613,24487,187,14,20849,20788,23765,4,0,0,8,3,1874,1728,1947,1728,73,73
11118958,11118958,0,302076,0,0,302076,0,490,15086,14638,0,137,0,368,596,46681,24585,187,14,20849,20788,23765,4,0,0,8,3,1889,1743,1962,1743,73,73
11134052,11134052,0,302174,0,0,302174,0,490,15086,14638,0,137,0,368,596,46749,24668,187,14,20849,20788,23765,4,0,0,8,3,1904,1758,1977,1758,73,73
11149728,11149728,0,302271,0,0,302271,0,490,15086,14638,0,137,0,368,596,46817,24764,187,14,20849,20788,23765,4,0,0,8,3,1918,1772,1991,1772,73,73
11163323,11163323,0,302353,0,0,302353,0,490,15086,14638,0,137,0,368,596,46885,24846,187,14,20849,20788,23765,4,0,0,8,3,1932,1786,2005,1786,73,73
11175455,11175455,0,302421,0,0,302421,0,490,15086,14638,0,137,0,368,596,46953,24928,187,14,20849,20788,23765,4,0,0,8,3,1932,1786,2005,1786,73,73
11190513,11190513,0,302517,0,0,302517,0,490,15086,14638,0,137,0,368,596,47021,25024,187,14,20849,20788,23765,4,0,0,8,3,1960,1814,2033,1814,73,73
11204668,11204668,0,302599,0,0,302599,0,490,15086,14638,0,137,0,368,596,47089,25118,187,14,21842,21781,24946,4,0,0,8,3,1973,1827,2046,1827,73,73
11219360,11219360,0,302693,0,0,302693,0,490,15086,14638,0,137,0,368,596,47157,25199,187,14,21842,21781,24946,4,0,0,8,3,1986,1840,2059,1840,73,73
11234572,11234572,0,302787,0,0,302787,0,490,15086,14638,0,137,0,368,596,47225,25293,187,14,21842,21781,24946,4,0,0,8,3,1999,1853,2072,1853,73,73
11246704,11246704,0,302855,0,0,302855,0,490,15086,14638,0,137,0,368,596,47293,25387,187,14,21842,21781,24946,4,0,0,8,3,1999,1853,2072,1853,73,73
11260636,11260636,0,302936,0,0,302936,0,490,15086,14638,0,137,0,368,596,47361,25469,187,14,21842,21781,24946,4,0,0,8,3,1999,1853,2072,1853,73,73
11272768,11272768,0,303004,0,0,303004,0,490,15086,14638,0,137,0,368,596,47429,25550,187,14,21842,21781,24946,4,0,0,8,3,1999,1853,2072,1853,73,73
11286725,11286725,0,303085,0,0,303085,0,490,15086,14638,0,137,0,368,596,47497,25631,187,14,21842,21781,24946,4,0,0,8,3,1999,1853,2072,1853,73,73
11298857,11298857,0,303153,0,0,303153,0,490,15086,14638,0,137,0,368,596,47565,25725,187,14,21842,21781,24946,4,0,0,8,3,1999,1853,2072,1853,73,73
11312814,11312814,0,303234,0,0,303234,0,490,15086,14638,0,137,0,368,596,47633,25806,187,14,21842,21781,24946,4,0,0,8,3,1999,1853,2072,1853,73,73
11324946,11324946,0,303302,0,0,303302,0,490,15086,14638,0,137,0,368,596,47701,25902,187,14,21842,21781,24946,4,0,0,8,3,1999,1853,2072,1853,73,73
11337078,11337078,0,303370,0,0,303370,0,490,15086,14638,0,137,0,368,596,47769,25976,187,14,21842,21781,24946,4,0,0,8,3,1999,1853,2072,1853,73,73
11349210,11349210,0,303438,0,0,303438,0,490,15086,14638,0,137,0,368,596,47837,26063,187,14,21842,21781,24946,4,0,0,8,3,1999,1853,2072,1853,73,73
11361606,11361606,0,303508,0,0,303508,0,490,15086,14638,0,137,0,368,596,47905,26161,187,14,22697,22636,25954,4,0,0,8,3,1999,1853,2072,1853,73,73
11375538,11375538,0,303589,0,0,303589,0,490,15086,14638,0,137,0,368,596,47973,26246,187,14,22697,22636,25954,4,0,0,8,3,1999,1853,2072,1853,73,73
11388198,11388198,0,303661,0,0,303661,0,490,15086,14638,0,137,0,368,596,48041,26333,187,14,22697,22636,25954,4,0,0,8,3,1999,1853,2072,1853,73,73
11401635,11401635,0,303742,0,0,303742,0,490,15086,14638,0,137,0,368,596,48109,26422,187,14,22697,22636,25954,4,0,0,8,3,2016,1870,2089,1870,73,73
11414155,11414155,0,303814,0,0,303814,0,490,15086,14638,0,137,0,368,596,48177,26520,187,14,22697,22636,25954,4,0,0,8,3,2029,1883,2102,1883,73,73
11429285,11429285,0,303912,0,0,303912,0,490,15086,14638,0,137,0,368,596,48245,26605,187,14,22697,22636,25954,4,0,0,8,3,2046,1900,2119,1900,73,73
11445458,11445458,0,304014,0,0,304014,0,490,15086,14638,0,137,0,368,596,48313,26717,187,14,22697,22636,25954,4,0,0,8,3,2076,1930,2149,1930,73,73
11462293,11462293,0,304122,0,0,304122,0,490,15086,14638,0,137,0,368,596,48381,26824,187,14,22697,22636,25954,4,0,0,8,3,2103,1957,2176,1957,73,73
11477505,11477505,0,304216,0,0,304216,0,490,15086,14638,0,137,0,368,596,48449,26905,187,14,22697,22636,25954,4,0,0,8,3,2103,1957,2176,1957,73,73
11489637,11489637,0,304284,0,0,304284,0,490,15086,14638,0,137,0,368,596,48517,26986,187,14,22697,22636,25954,4,0,0,8,3,2103,1957,2176,1957,73,73
11501769,11501769,0,304352,0,0,304352,0,490,15086,14638,0,137,0,368,596,48585,27067,187,14,22697,22636,25954,4,0,0,8,3,2103,1957,2176,1957,73,73
11513901,11513901,0,304420,0,0,304420,0,490,15086,14638,0,137,0,368,596,48653,27148,187,14,22697,22636,25954,4,0,0,8,3,2103,1957,2176,1957,73,73
11526033,11526033,0,304488,0,0,304488,0,490,15086,14638,0,137,0,368,596,48721,27242,187,14,23618,23557,27053,4,0,0,8,3,2103,1957,2176,1957,73,73
11539990,11539990,0,304569,0,0,304569,0,490,15086,14638,0,137,0,368,596,48789,27323,187,14,23618,23557,27053,4,0,0,8,3,2103,1957,2176,1957,73,73
11552122,11552122,0,304637,0,0,304637,0,490,15086,14638,0,137,0,368,596,48857,27405,187,14,23618,23557,27053,4,0,0,8,3,2103,1957,2176,1957,73,73
11564254,11564254,0,304705,0,0,304705,0,490,15086,14638,0,137,0,368,596,48925,27499,187,14,23618,23557,27053,4,0,0,8,3,2103,1957,2176,1957,73,73
11578186,11578186,0,304786,0,0,304786,0,490,15086,14638,0,137,0,368,596,48993,27580,187,14,23618,23557,27053,4,0,0,8,3,2103,1957,2176,1957,73,73
11590318,11590318,0,304854,0,0,304854,0,490,15086,14638,0,137,0,368,596,49061,27661,187,14,23618,23557,27053,4,0,0,8,3,2103,1957,2176,1957,73,73
11602450,11602450,0,304922,0,0,304922,0,490,15086,14638,0,137,0,368,596,49129,27743,187,14,23618,23557,27053,4,0,0,8,3,2103,1957,2176,1957,73,73
11614582,11614582,0,304990,0,0,304990,0,490,15086,14638,0,137,0,368,596,49197,27824,187,14,23618,23557,27053,4,0,0,8,3,2103,1957,2176,1957,73,73
11628539,11628539,0,305071,0,0,305071,0,490,15086,14638,0,137,0,368,596,49265,27918,187,14,23618,23557,27053,4,0,0,8,3,2103,1957,2176,1957,73,73
11640671,11640671,0,305139,0,0,305139,0,490,15086,14638,0,137,0,368,596,49333,27999,187,14,23618,23557,27053,4,0,0,8,3,2103,1957,2176,1957,73,73
11652803,11652803,0,305207,0,0,305207,0,490,15086,14638,0,137,0,368,596,49401,28093,187,14,23618,23557,27053,4,0,0,8,3,2103,1957,2176,1957,73,73
11666760,11666760,0,305288,0,0,305288,0,490,15086,14638,0,137,0,368,596,49469,28174,187,14,23618,23557,27053,4,0,0,8,3,2103,1957,2176,1957,73,73
11678892,11678892,0,305356,0,0,305356,0,490,15086,14638,0,137,0,368,596,49537,28255,187,14,24434,24373,28000,4,0,0,8,3,2103,1957,2176,1957,73,73
11692824,11692824,0,305437,0,0,305437,0,490,15086,14638,0,137,0,368,596,49605,28336,187,14,24434,24373,28000,4,0,0,8,3,2103,1957,2176,1957,73,73
11704956,11704956,0,305505,0,0,305505,0,490,15086,14638,0,137,0,368,596,49673,28430,187,14,24434,24373,28000,4,0,0,8,3,2103,1957,2176,1957,73,73
11718888,11718888,0,305586,0,0,305586,0,490,15086,14638,0,137,0,368,596,49741,28511,187,14,24434,24373,28000,4,0,0,8,3,2103,1957,2176,1957,73,73
