ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInNUcastPkts,ifInDiscards,ifOutUcastPkts,ifOutNUcastPkts,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipSystemStatsInReceives,ipSystemStatsInDelivers,ipSystemStatsOutRequests,ipSystemStatsOutDiscards,ipSystemStatsInDiscards,ipSystemStatsInForwDatagrams,ipSystemStatsOutNoRoutes,ipSystemStatsInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
33210914,33210914,0,183718,0,0,183718,0,1991,146945,131722,2,793,8,817,2851,801349,5035026,7373,26,580957,580463,5068320,5,0,0,16,3,0,0,2,2,0,0
33223046,33223046,0,183786,0,0,183786,0,1992,146964,131744,2,793,8,818,2852,801419,5035096,7373,26,580957,580463,5068320,5,0,0,16,3,0,0,2,2,0,0
33235178,33235178,0,183854,0,0,183854,0,1992,146966,131746,2,793,8,818,2852,801487,5035164,7373,26,580957,580463,5068320,5,0,0,16,3,0,0,2,2,0,0
33247310,33247310,0,183922,0,0,183922,0,1993,146985,131766,2,793,8,819,2853,801557,5035234,7373,26,580957,580463,5068320,5,0,0,16,3,0,0,2,2,0,0
33259442,33259442,0,183990,0,0,183990,0,1993,146987,131768,2,793,8,819,2853,801625,5035302,7373,26,581791,581297,5069156,5,0,0,16,3,0,0,2,2,0,0
33271574,33271574,0,184058,0,0,184058,0,1993,146993,131772,2,793,8,819,2853,801693,5035370,7373,26,581791,581297,5069156,5,0,0,16,3,0,0,2,2,0,0
33283706,33283706,0,184126,0,0,184126,0,1994,147013,131794,2,793,8,820,2854,801763,5035440,7373,26,581791,581297,5069156,5,0,0,16,3,0,0,2,2,0,0
33295838,33295838,0,184194,0,0,184194,0,1994,147016,131797,2,793,8,820,2854,801831,5035508,7373,26,581791,581297,5069156,5,0,0,16,3,0,0,2,2,0,0
33307970,33307970,0,184262,0,0,184262,0,1995,147036,131821,2,793,7,821,2855,801901,5035578,7373,26,581791,581297,5069156,5,0,0,16,3,0,0,2,2,0,0
33320102,33320102,0,184330,0,0,184330,0,1995,147046,131831,2,793,8,821,2856,802084,5035682,7373,26,581791,581297,5069156,5,0,0,16,3,0,0,2,2,0,0
33332234,33332234,0,184398,0,0,184398,0,1996,147065,131852,2,793,8,822,2857,802154,5035753,7373,26,581791,581297,5069156,5,0,0,16,3,0,0,2,2,0,0
33344366,33344366,0,184466,0,0,184466,0,1996,147067,131855,2,793,8,822,2857,802222,5035821,7373,26,581791,581297,5069156,5,0,0,16,3,0,0,2,2,0,0
33356498,33356498,0,184534,0,0,184534,0,1997,147085,131875,2,793,8,823,2858,802292,5035891,7373,26,581791,581297,5069156,5,0,0,16,3,0,0,2,2,0,0
33368630,33368630,0,184602,0,0,184602,0,1997,147093,131881,2,793,8,823,2858,802360,5035959,7373,26,581791,581297,5069156,5,0,0,16,3,0,0,2,2,0,0
33380762,33380762,0,184670,0,0,184670,0,1998,147136,131918,2,793,8,824,2859,802448,5036032,7373,26,581791,581297,5069156,5,0,0,16,3,0,0,2,2,0,0
33392894,33392894,0,184738,0,0,184738,0,1998,147256,132014,2,793,11,824,2862,803379,5036250,7373,26,581791,581297,5069156,5,0,0,16,3,0,0,2,2,0,0
33405026,33405026,0,184806,0,0,184806,0,1999,147285,132043,2,793,11,825,2863,804232,5036366,7373,26,582637,582140,5070000,5,0,0,16,3,0,0,2,2,0,0
33417158,33417158,0,184874,0,0,184874,0,1999,147292,132048,2,793,11,825,2863,804300,5036434,7373,26,582637,582140,5070000,5,0,0,16,3,0,0,2,2,0,0
33429290,33429290,0,184942,0,0,184942,0,2003,147329,132088,2,793,12,826,2866,804739,5036525,7373,26,582637,582140,5070000,5,0,0,16,3,0,0,2,2,0,0
33441422,33441422,0,185010,0,0,185010,0,2003,147469,132233,2,793,18,826,2874,805031,5036641,7373,26,582637,582140,5070000,5,0,0,16,3,0,0,2,2,0,0
33453554,33453554,0,185078,0,0,185078,0,2004,147538,132287,2,793,18,827,2875,805833,5036727,7373,26,582637,582140,5070000,5,0,0,16,3,0,0,2,2,0,0
33465686,33465686,0,185146,0,0,185146,0,2005,148538,133192,2,793,25,828,2883,806292,5036834,7373,26,582637,582140,5070000,5,0,0,16,3,0,0,2,2,0,0
33477818,33477818,0,185214,0,0,185214,0,2005,149702,134090,2,793,26,828,2884,806362,5036904,7373,26,582637,582140,5070000,5,0,0,16,3,0,0,2,2,0,0
33489950,33489950,0,185282,0,0,185282,0,2007,157079,139623,2,793,20,829,2885,806432,5036974,7373,26,582637,582140,5070000,5,0,0,16,3,0,0,2,2,0,0
33502082,33502082,0,185350,0,0,185350,0,2007,160403,142193,2,793,20,829,2886,807610,5037060,7576,26,582637,582140,5070000,5,0,0,16,3,0,0,2,2,0,0
33514214,33514214,0,185418,0,0,185418,0,2008,160426,142218,2,793,20,830,2887,807680,5037130,7576,26,582637,582140,5070000,5,0,0,16,3,0,0,2,2,0,0
